domain,status,listing_count,reason,strategy,duration_seconds
stephaneplazaimmobilier.com,failed,0,blocked_403,none,9.47
rhpatrimoine.com,success,6,,static,15.72
capwestresidence.fr,failed,0,no_listings_found,static,17.24
pietrapolis.fr,failed,0,no_listings_found,static,30.95
nestenn.com,success,30,,static,23.76
maisonsoxygene.com,failed,0,no_listings_found,static,35.13
beausejour-immobilier.fr,failed,0,blocked_403,none,42.32
carmen-immobilier.com,failed,0,site_not_reachable,none,9.21
maxihome.net,failed,0,no_listings_found,none,174.85
cosialis.fr,failed,0,no_listings_found,none,157.64
igor-immobilier.com,failed,0,no_listings_found,none,143.86
zelidom.fr,failed,0,no_listings_found,none,174.89
agencealbert1er.fr,failed,0,no_listings_found,none,159.14
mg-immobilier.com,failed,0,site_not_reachable,none,132.45
agencedeneuville.com,failed,0,site_not_reachable,none,132.46
sporting-immobilier.fr,failed,0,no_listings_found,none,146.38
erapontdelarc.com,failed,0,blocked_403,none,20.30
groupecif.com,success,20,,static,37.37
agencecoullaud.fr,success,29,,static,47.76
well-estate.fr,failed,0,no_listings_found,static,53.67
aio-immobiliere.com,failed,0,no_listings_found,static,47.69
agencegrossi.com,success,20,,static,62.87
erafrance.com,failed,0,no_listings_found,static,64.41
novilis.fr,failed,0,no_listings_found,static,29.27
2m-immo.com,success,29,,static,53.34
vancia-immobilier.fr,failed,0,no_listings_found,static,25.39
agencemathieu.fr,success,34,,static,37.13
immoso.fr,success,32,,static,40.72
immobiliere-de-croix.com,failed,0,no_listings_found,static,13.72
groupimmo.pro,success,12,,static,41.56
wretmanestate.com,failed,0,no_listings_found,static,111.90
jeminstalleici.com,failed,0,no_listings_found,static,19.13
agencedesflots.com,success,1,,static,76.85
lgo-immobilier.fr,success,8,,static,64.74
grisel-immobilier.fr,success,40,,static,62.28
imbs-immo.com,success,12,,static,56.55
tit-immobilier.com,success,21,,static,54.95
piriac-immobilier.fr,success,21,,static,58.40
