domain,status,reason
stephaneplazaimmobilier.com,blocked,HTTP probe returned 403; Playwright also found no usable listings
beausejour-immobilier.fr,blocked,HTTP probe returned 403; Playwright also found no usable listings
capwestresidence.fr,no_listings,Could not find listings on site with either method
igor-immobilier.com,unreachable,Site did not respond to HTTP probe and Playwright found no usable listings
cosialis.fr,unreachable,Site did not respond to HTTP probe and Playwright found no usable listings
nestenn.com,unreachable,Site did not respond to HTTP probe and Playwright found no usable listings
carmen-immobilier.com,unreachable,Site did not respond to HTTP probe and Playwright found no usable listings
maisonsoxygene.com,no_listings,Could not find listings on site with either method
zelidom.fr,unreachable,Site did not respond to HTTP probe and Playwright found no usable listings
well-estate.fr,unreachable,Site did not respond to HTTP probe and Playwright found no usable listings
erapontdelarc.com,unreachable,Site did not respond to HTTP probe and Playwright found no usable listings
wretmanestate.com,unreachable,Site did not respond to HTTP probe and Playwright found no usable listings
erafrance.com,unreachable,Site did not respond to HTTP probe and Playwright found no usable listings
novilis.fr,no_listings,Could not find listings on site with either method
mylogement.com,no_listings,Could not find listings on site with either method
agencedubrivet.com,unreachable,Site did not respond to HTTP probe and Playwright found no usable listings
bouc-bel-air.guy-hoquet.com,no_listings,Could not find listings on site with either method
agence-beci.com,no_listings,Could not find listings on site with either method
guy-hoquet.com,no_listings,Could not find listings on site with either method
laforet.com,no_listings,Could not find listings on site with either method
laresidence.fr,no_listings,Could not find listings on site with either method
a2bimmo.com,no_listings,Could not find listings on site with either method
montpellier-antigone.guy-hoquet.com,no_listings,Could not find listings on site with either method
groupe-tolosan-immobilier.com,no_listings,Could not find listings on site with either method
dunkerque.stephaneplazaimmobilier.com,blocked,HTTP probe returned 403; Playwright also found no usable listings
groupe-condominium.fr,no_listings,Could not find listings on site with either method
capsud-immo.com,no_listings,Could not find listings on site with either method
agence-odeia-immobilier.com,unreachable,Site did not respond to HTTP probe and Playwright found no usable listings
abacusfinance.com,no_listings,Could not find listings on site with either method
tropis-immobilier.fr,no_listings,Could not find listings on site with either method
4mlagence.fr,blocked,HTTP probe returned 403; Playwright also found no usable listings
atlanticviager.fr,no_listings,Could not find listings on site with either method
reutterinvest.fr,no_listings,Could not find listings on site with either method
mconceptimmo.ch,no_listings,Could not find listings on site with either method
immograndlyon.com,unreachable,Site did not respond to HTTP probe and Playwright found no usable listings
galyo.fr,unreachable,Site did not respond to HTTP probe and Playwright found no usable listings
gardnerimmobilier.com,unreachable,Site did not respond to HTTP probe and Playwright found no usable listings
immoso.fr,unreachable,Site did not respond to HTTP probe and Playwright found no usable listings
grisel-immobilier.fr,unreachable,Site did not respond to HTTP probe and Playwright found no usable listings
vancia-immobilier.fr,no_listings,Could not find listings on site with either method
immobiliere-de-croix.com,unreachable,Site did not respond to HTTP probe and Playwright found no usable listings
tit-immobilier.com,unreachable,Site did not respond to HTTP probe and Playwright found no usable listings
jeminstalleici.com,unreachable,Site did not respond to HTTP probe and Playwright found no usable listings
sylogest.fr,no_listings,Could not find listings on site with either method
sti-immo.fr,no_listings,Could not find listings on site with either method
chatillonestate.com,no_listings,Could not find listings on site with either method
nuances-immo.fr,no_listings,Could not find listings on site with either method
immobiliere-abc.com,no_listings,Could not find listings on site with either method
larimmo.fr,no_listings,Could not find listings on site with either method
pbfimmobilier.fr,no_listings,Could not find listings on site with either method
vivesimmobilier.fr,no_listings,Could not find listings on site with either method
fhimmobilier.fr,no_listings,Could not find listings on site with either method
lagencetoulousaine.fr,blocked,HTTP probe returned 403; Playwright also found no usable listings
immoboucbelair.com,no_listings,Could not find listings on site with either method
arp-immo.fr,unreachable,Site did not respond to HTTP probe and Playwright found no usable listings
invalid,unreachable,Site did not respond to HTTP probe and Playwright found no usable listings
maisonbianchi.eu,no_listings,Could not find listings on site with either method
guchens.fr,unreachable,Site did not respond to HTTP probe and Playwright found no usable listings
nova.immobilien,no_listings,Could not find listings on site with either method
idimmo31.idimmo.net,unreachable,Site did not respond to HTTP probe and Playwright found no usable listings
