reference_id,price,property_type,location,surface_area,rooms,bedrooms,agency_name,agent_name,phone_number,email,coordinates,dpe_rating,source_url,source_domain
107,,,"Estimez Votre Bien,107",,,,Pietrapolis Villefranche Beaujolais,,0474108585,,,,"https://www.pietrapolis.fr/estimez-votre-bien,107",pietrapolis.fr
10854,,appartement,27m%c2%b2 900e Mois,27,1,0,COSIALIS,,0472731373,gestion@cosialis.fr,,D,https://www.cosialis.fr/annonce/appartement-t1-27m%c2%b2-900e-mois,cosialis.fr
8949,,appartement,39m%c2%b2 007e Mois,39,2,1,COSIALIS,,0472731373,gestion@cosialis.fr,,D,https://www.cosialis.fr/annonce/appartement-t2-39m%c2%b2-1-007e-mois,cosialis.fr
,,maison,115m%c2%b2 400e Mois,115,,3,COSIALIS,,0472731373,gestion@cosialis.fr,,,https://www.cosialis.fr/annonce/maison-115m%c2%b2-1-400e-mois,cosialis.fr
1702G,,,Transaction,24,1,1,GROUPE BEAUSEJOUR IMMOBILIER ST HERBLAIN BOURG,,0745216228,nantes@beausejour-immobilier.com,,,https://www.beausejour-immobilier.fr/annonces/transaction/Location.html,beausejour-immobilier.fr
531,,,Transaction,50,2,2,GROUPE BEAUSEJOUR IMMOBILIER ST HERBLAIN BOURG,,0379898977,nantes@beausejour-immobilier.com,,,https://www.beausejour-immobilier.fr/annonces/transaction/Vente.html,beausejour-immobilier.fr
417,82500,appartement,Ref. : 417,30,1,,GROUPE BEAUSEJOUR IMMOBILIER ST HERBLAIN BOURG,,0744018554,nantes@beausejour-immobilier.com,,,https://www.beausejour-immobilier.fr/fiches/3-33-27_58151272/appartement-nantes-tortiere-30-m2-avec-grand-balcon.html,beausejour-immobilier.fr
379,223000,appartement,Ref. : 379,95,5,4,GROUPE BEAUSEJOUR IMMOBILIER ST HERBLAIN BOURG,,0240853232,nantes@beausejour-immobilier.com,,,https://www.beausejour-immobilier.fr/fiches/3-33-31_58402348/appartement-lumineux-4-chambres-saint-herblain-chezine-95-m2.html,beausejour-immobilier.fr
575,139500,,Ref. : 575,41,2,4,GROUPE BEAUSEJOUR IMMOBILIER ST HERBLAIN BOURG,,0240853232,nantes@beausejour-immobilier.com,,,https://www.beausejour-immobilier.fr/fiches/3-33-28_56136262/coueron-bourg-t2-recent.html,beausejour-immobilier.fr
1509,,,SAINT-HERBLAIN 44800,47.8,2,,GROUPE BEAUSEJOUR IMMOBILIER ST HERBLAIN BOURG,,0240853232,nantes@beausejour-immobilier.com,,,https://www.beausejour-immobilier.fr/content/6/vendeurs.html,beausejour-immobilier.fr
